sentence,word,meaning
 Królik jest bardzo popularnym symbolem w kulturze meksykańskiej.,królik, zool. udomowione zwierzę z rodziny zającowatych; zob. też królik w Wikipedii
 Przeciw prawom kolonialnym zaczęli się wnet buntować kolejni królikowie.,królik, pejor. władca małego państwa
 Moi dziadkowie na wsi trzymają trzy świnie i kozę.,świnia," zool. Sus scrofa subsp. domesticus[1], zwierzę hodowlane z rodziny parzystokopytnych; zob. też świnia w Wikipedii"
 Mamy tu oto kawał pieczonej świni i chętnie przysmakiem tym podzielimy się tobą[4].,świnia," zool. Sus scrofa subsp. domesticus[1], zwierzę hodowlane z rodziny parzystokopytnych; zob. też świnia w Wikipedii"
 Nasza świnia Kasia ma osiem prosiaczków.,świnia, zool. samica świni (1.1)
 Podczas wizyty w zoo widzieliśmy kilka gatunków świń.,świnia," zool. każde zwierzę z podrzędu świniokształtnych, Suiformes; zob. też świniokształtne w Wikipedii"
 Jakaś świnia wywaliła nam pod domem swoje śmieci.,świnia," przen. pot. człowiek zachowujący się nieprzyzwoicie, niekulturalnie"
 Ta świnia Kazik ciągle beka i pierdzi!,świnia," przen. pot. człowiek zachowujący się nieprzyzwoicie, niekulturalnie"
 Pijanica jesteś i świnia zapowietrzona![5],świnia," przen. pot. człowiek zachowujący się nieprzyzwoicie, niekulturalnie"
" Trzeba być skończoną świnią, żeby oszukiwać dzieci w sklepie.",świnia," pejor. przen. pogard. o osobie nikczemnej, podłej"
 Ty jesteś najmądrzejszy w całej gminie. Wójt to świnia…[6],świnia," pejor. przen. pogard. o osobie nikczemnej, podłej"
" Jesteś głupia, burżujska świnia! Otumanili was kapitaliści i księża swoją faszystowską propagandą i zrobili z was dzikusów[7].",świnia, pejor. przen. wulg. w połączeniu z określeniem jakiejś zbiorowości – ogólny epitet wyrażający pogardę
 Z nudów zagraliśmy w świnię pięć partii.,świnia, karc. jedna z gier karcianych; zob. też świnie (gra karciana) w Wikipedii
 U rzeźnika na wystawie wisi świnia półtusza i szynka.,świnia, ż lp od: świni
" Synu, twój dziad umarł walcząc za ojczyznę i winien jesteś pamiętać o nim.",dziad, st.pol.[1] współcz. przest. podn. dziadek
 Matka często gotowała dziada na obiad.,dziad, reg. łódz. kapuśniak z ziemniakami[4]
" W teraźniejszych czasach ponieważ światłe duchowieństwo i właściciele usiłowali wykorzenić zwyczaj połączony z zabobonnémi praktykami, i zbytkiem częstokroć nagannym; pospólstwo więc święci Dziady tajemnie w kaplicach lub pustych domach niedaleko cmentarza. Zastawia się tam pospolicie uczta z rozmaitego jadła, trunków, owoców, i wywołują się dusze nieboszczyków[5].",dziady ," kult. rel. obrzęd ludowy z terenu Kresów, podczas którego przywołuje się duchy zmarłych; zob. też dziady (zwyczaj) w Wikipedii; zob. też dziady w Encyklopedii staropolskiej"
" Mieliśmy krowę, która dawała dużo mleka.",dawać, zob. dać
" W tajemnicy, z okolicy, schodzą się sfory zmor[3].",sfora, pogard. pejor. zgraja ludzi
 Złożyliśmy się na alpagę i obaliliśmy ją w parku.,alpaga, zob. jabol
" Zobacz, jakie ona ma duże cyce!",cyc, grub. wulg. kobieca pierś
 Ciało męczennicy Felikuli wrzucono do rzymskiej kloaki.,kloaka, dół lub zbiornik przeznaczony do gromadzenia odchodów
 Pierdolę jego zdanie! I tak zrobię tak jak uważam.,pierdolić, wulg. lekceważyć[2]
" Naprawdę?! Pierdolisz, nie wierzę ci.",pierdolić," wulg. zmyślać, mówić coś głupiego[3]"
 Weź nie pierdol.,pierdolić," wulg. zmyślać, mówić coś głupiego[3]"
 O ja pierdolę! Wygrałem nagrodę w jakimś konkursie!,pierdolić," wulg. czasownik ekspresyjny, wyrażający np. niedowierzanie, zaskoczenie"
 Ciągle pierdolę godziny zajęć i mam nieobecności.,pierdolić, wulg. mylić
 Warszawiacy rzadko pierdolą swoje żony.,pierdolić, wulg. uprawiać z kimś seks (jako strona aktywna)
" Pierdolisz bzdury, już nie mogę słuchać tych głupot.",pierdolić," wulg. zmyślać, mówić coś głupiego"
 Pierdolę to wszystko! Już mnie to nie obchodzi.,pierdolić, wulg. lekceważyć
 Pierdolę każdą robotę za jaką się nie wezmę.,pierdolić, wulg. psuć
 Znaki drogowe mi się pierdolą.,pierdolić, wulg. mylić się (w zn. być mylonym)
 Zawsze pierdolę się w obliczeniach.,pierdolić, wulg. mylić się
 Pierdoli mi się komputer.,pierdolić, wulg. psuć się
 Pierdolimy się każdego wieczoru.,pierdolić, wulg. uprawiać seks ze sobą nawzajem
" Sąsiad z góra pierdoli się z sąsiadką tak, że aż tynk sypie się nam z sufitu.",pierdolić, wulg. uprawiać seks ze sobą nawzajem
 Już nie mam siły; pierdolę się z tym od rana.,pierdolić," wulg. zajmować się mozolnie, robić coś powoli[2]"
" Dzieci nie lubiły zasranego aparatczyka, co jebał ich matkę[2].",jebać, wulg. pot. uprawiać z kimś seks (jako strona aktywna)
 Ale tu jebie szczyną!,jebać, wulg. pot. śmierdzieć
" Gdy mnie wkurwia, jebię go w łeb.",jebać, wulg. pot. uderzać kogoś lub coś
" Zawsze jak się wkurwi, to jebie talerzami w ziemię.",jebać, wulg. pot. rzucać czymś
 Jebię to wszystko!,jebać, wulg. pot. lekceważyć
 Co tam tak głośno jebie za tą ścianą?,jebać, wulg. pot. wydawać głośny dźwięk
 Naprawdę? Jebiesz.,jebać," wulg. pot. rzad. zmyślać, mówić coś głupiego"
 Za szkołą Piotrek z Markiem jebią się po ryjach.,jebać," wulg. pot. uderzać się, bić się"
 Komputer mi się jebie.,jebać, wulg. pot. psuć się
 Przy pierwiastkach zawsze jebię się w obliczeniach.,jebać, wulg. pot. mylić się
 Jebie mi się prawa z lewą.,jebać, wulg. pot. mylić się
 Jebiemy się ze sobą każdego wieczoru jak króliki.,jebać, wulg. pot. uprawiać seks
 Zakładam dres i idę pobiegać.,dres, kraw. sport. wygodny strój treningowy (komplet góra i dół) noszony najczęściej przez sportowców
 Brat Karoliny jest dresem.,dres, pot. osoba należąca do subkultury dresiarzy
 Nie smakował mi ten wczorajszy pasztet z indyka.,pasztet," kulin. spoż. potrawa z kilku gatunków duszonego lub gotowanego mięsa i podrobów, które się miele i zwykle zapieka"
 Wpakowaliśmy się w niezły pasztet.,pasztet, przen. pot. pejor. kłopotliwa sytuacja
 Z takim pasztetem w życiu się nie umówię.,pasztet, przen. pot. pejor. brzydka dziewczyna
 Z zachodu ciągnie burza.,ciągnąć," przen. zbliżać się, nadchodzić"
 Pola ciągnęły się aż pod horyzont.,ciągnąć, zajmować powierzchnię na określonym obszarze
 Moje dzieci wolą ssać skondensowane kakao z tubki niż je rozpuszczać w szklance wody.,ssać, pić wyciągając z czegoś płyn ustami
" Kubuś, gdy ssie, to zawsze zamyka oczka.",ssać, o niemowlętach i młodych zwierzętach pić mleko z piersi matki
" Gdy Margot stanik swój rozpinała, / By miał kotek, biedactwo, co ssać / Biegła nas, biegła nas cała zgraja, / By popa-pa-pa-pa-pa-patrzeć…[2]",ssać, o niemowlętach i młodych zwierzętach pić mleko z piersi matki
 Tomek lubi ssać landrynki.,ssać, powolne spożywanie twardego i rozpuszczalnego pod wpływem śliny pokarmu
 Niektóre przedszkolaki mają zły nawyk ssania kciuka.,ssać, trzymać w ustach coś niejadalnego i obracać językiem
" Odkurzacz zawsze z jednej strony ssie, a z drugiej dmucha.",ssać, odprowadzać płyn (gaz i ciecz) lub drobne przedmioty za pomocą podciśnienia
" Skoro ona mi nie chce ssać, to nasze życie erotyczne na tym traci.[3]",ssać," eufem. grub. robić fellatio, mieć stosunek oralny[1]"
 Weź uprzątnij ten syf w pokoju!,syf, pot. posp. brak ładu i porządku
" Ale syf, chodźmy stąd lepiej.",syf, pot. posp. brak ładu i porządku
" Mówię wam, narkotyki nie są warte waszego życia, nie bierzcie tego syfu!",syf, pot. posp. rzecz lub zjawisko oceniane skrajnie negatywnie
" A mówiłem mu, że jak się będzie szlajał ciągle po burdelach, to syfa w końcu złapie.",syf, pot. posp. syfilis[1]
 Flądry charakteryzują się asymetrią budowy ciała.[1],flądra, icht. płaska ryba; zob. też flądra w Wikipedii
" Gdybym się mylił w poprzedniej ocenie, to to spuszczenie sukni i zamiatanie nią błota samo już wystarczyło, aby mnie przekonać, że to zwykła łódzka flądra[2].",flądra, pogard. o źle prowadzącej się kobiecie
 Dziś ta flądra przysyła do mnie jakiegoś draba z wymówieniem komornego[3].,flądra, pogard. o źle prowadzącej się kobiecie
" Trudno się dziwić, że te dzieci czasem są niedoprane, skoro ich matka to taka flądra.",flądra, pogard. ktoś brudny i niechlujny
" Nie puszczano bab, śpiewających pieśni pobożne, ani dziada, który grał na klarnecie, ani kataryniarzy[3].",klarnet, muz. instrument dęty drewniany ze stroikiem; zob. też klarnet w Wikipedii
" Dźwięk klarnetu jest miękki, soczysty i delikatny[4].",klarnet, muz. instrument dęty drewniany ze stroikiem; zob. też klarnet w Wikipedii
" Powiedz tym klarnetom, że nie zabrali bidonu z budowy.",klarnet, reg. żart. osoba niezbyt rozgarnięta[1]
" Doktor powtórzył tylko to, co jakiś dudek powiedział na śledztwie[2].",dudek, pot. głupiec
 Pornografowie dziecięcy to wyjątkowo paskudne ścierwa.,ścierwo," pogard. człowiek zły, podły"
 Straszna chujnia z tą robotą! Od tygodni wysyłam CV i nikt nie dzwoni.,chujnia," wulg. coś kiepskiego, nieciekawego, niezadowalającego; coś odbieranego negatywnie"
 Mam pierdolca na punkcie poprawnej polszczyzny.[2],pierdolec," wulg. zafascynowanie, bzik, obsesja[1]"
" Pomóżcie, bo zaraz dostanę pierdolca.[3]",pierdolec," wulg. zdenerwowanie, gniew, szał"
 Ten głupi żabojad wyrzucił mnie ze swojej restauracji.,żabojad, pot. pejor. lub lekcew. Francuz
" Zaraz przywalę temu cholernemu szwabowi, jeśli nie przestanie mnie obrażać!",szwab, pogard. Niemiec[1]
 Ten dureń nie zna nawet tabliczki mnożenia.,dureń, pot. człowiek mało inteligentny
" Nie pokazuj mi się więcej na oczy, durniu!",dureń, pot. obraźliwa forma zwrotu do mężczyzny
 Chodź zagrać w durnia.,dureń, rodzaj niehazardowej gry karcianej[1]; zob. też dureń w Wikipedii
 Czy słyszałeś już Menuet ges dur Beethovena?,dur," twardy, mocny, solidny[1]"
 Co jest do kurwy nędzy? Ja tego nie zrobiłem.,do kurwy nędzy," wulg. emocjonalne wyrażenie niezadowolenia, niedowierzania mówiącego w określonej sytuacji"
" Gdzie, do kurwy nędzy, położyłaś kluczyki do samochodu!?",do kurwy nędzy," wulg. emocjonalne wyrażenie niezadowolenia, niedowierzania mówiącego w określonej sytuacji"
" Przyjaźnię się z nim, ale czasami mam wrażenie, że jest kompletnie popierdolony.",popierdolony," wulg. szalony, zwariowany, nienormalny"
" Nikt dokładnie nie wie, jak bardzo popierdolony jesteś.",popierdolony," wulg. szalony, zwariowany, nienormalny"
 Otwarł bocian dziób z klekotem…[3],dziób, zool. rogowe zakończenie głowy u ptaków oraz niektórych innych zwierząt służące najczęściej do chwytania pokarmów; zob. też dziób w Wikipedii
" — Za pozwoleniem, to ja powinnam, bo jestem starsza i mam pierwszeństwo. — Za pozwoleniem, ale to ja wpadłam na ten pomysł. — Za pozwoleniem, zamknij dziób.[4]",dziób, pot. przen. twarz lub usta
" Dziób okrętu, w którym oboje byli umieszczeni, wzlatywał w górę, a potem spadał jak szalony.[5]",dziób, przednia część kadłuba statku; zob. też dziób w Wikipedii
" — A nie będzie dziobów na polikach? — Nie zdrapuj, to przejdzie ci bez znaku, jak Nastusi.[6]",dziób, zwykle w lm ślad na skórze po przebytej ospie
 Dzieci ulepiły ogromnego bałwana.,bałwan, figura człowieka ulepiona ze śniegu; zob. też bałwan w Wikipedii
 Lecz się zmieszali z poganami i nauczyli się ich uczynków; poczęli czcić ich bałwany[3].,bałwan, etn. rel. figura bożka pogańskiego
" Wtem sztorm się zerwał nagle, bałwany wokół wrzały zmywając pokład cały[4].",bałwan, książk. spieniona fala morska
" Każdy bałwan ma mieć własną miarę łokci 4, tj. wzdłuż miar 3 a czwartą miarę wszerz, także i wmiąż[5].",bałwan," przest. wielka bryła, wielki kawał, słup[1]; również jednostka bryłowa urobku np. soli; zob. też bałwan w Encyklopedii staropolskiej"
 Ty bałwanie! Czemu to zrobiłeś?!,bałwan," pot. pogard. głupek, tuman"
 Moi jebani sąsiedzi znów hałasują.,jebany," wulg. taki, który denerwuje, wzbudza gniew, pogardę"
" O, jebany! W jeden dzień przejechał na rowerze jakieś 150 km.",jebany," wulg. iron. wzbudzający podziw, zazdrość"
 Jebany ukradł mi portfel!,jebany," wulg. człowiek denerwujący, wzbudzający gniew, pogardę"
 Jebani wygrali 8:0!,jebany," wulg. iron. człowiek wzbudzający podziw, zazdrość"
" Co za kretyn, tak się spił, że ledwo stoi na nogach, a chce jechać autem!",kretyn, przen. pejor. obraź. obraźliwa forma zwrócenia się do mężczyzny
 Pijawki stosuje się w lecznictwie w schorzeniach układu krążenia.,pijawka, zool. drobne zwierzę wodne z typu pierścienic; zob. też pijawka w Wikipedii
 Jego była żona to prawdziwa pijawka… Po rozwodzie wzięła wszystkie jego pieniądze!,pijawka," przen. ktoś, kto czerpie korzyści z innych"
" — Cóż to — zaperzył się — moich krewnych uważasz pani za spekulantów? (1896, T. Miciński: Nauczycielka)",spekulant, człowiek kupujący coś po niskiej cenie z zamiarem sprzedaży po wyższej; zob. też spekulant w Wikipedii
" Prawdy są trzy: cała prawda, święta prawda i gówno prawda.[1]",gówno prawda," wulg. oczywiste kłamstwo, nieprawda"
" — Szef mówił, że nie starczyło w tym kwartale na premie. — Gówno prawda! Sobie przyznał.",gówno prawda, wulg. gniewna reakcja na czyjąś wypowiedź uważaną za nieprawdziwą
 Marek długo dmuchał na gorący obiad.,dmuchać, wypuszczać powietrze z ust
 Odezwałem się nie w porę i wyszedłem na głupca.,głupiec," osoba dokonująca nierozsądnych wyborów, niemądra, naiwna i bezmyślna"
" Gdy głupcy, obdarzeni wielką aktywnością, znajdują – w ułożyskowaniu określonych antagonizmów klasowych i narodowych resentymentów – posłuch głupców mniej aktywnych, gotowych pójść za tym, „kto poprowadzi” – może się zrodzić z takiego „wzmocnienia” zło, nie piekielne co prawda, bo czysto ludzkie, lecz nie mniej przez to zgubne[1].",głupiec," osoba dokonująca nierozsądnych wyborów, niemądra, naiwna i bezmyślna"
" […] sadzawki w ogrodzie kopane, gdzie leszcze, karpie, pstrągi pięknie malowane […][1]",leszcz, icht. eurazjatycka duża spłaszczona ryba słodkowodna; zob. też leszcz w Wikipedii
 Oglądaliśmy dzisiaj w zoo leniwce.,leniwiec," zool. średniej wielkości, powolny, nadrzewny, roślinożerny ssak z rodziny leniwcowatych (Bradypodidae[1]) lub leniuchowcowatych (Megalonychidae[2]); zob. też leniwce w Wikipedii"
" Rusz się w końcu sprzed telewizora, leniwcu jeden!",leniwiec, pot. ktoś leniwy
" Pierdzą panny, dobrodzieje, • Księża, szlachta i złodzieje, • Nawet papież chociaż miernie, • Też kadzidłem sobie pierdnie.[1]",pierdzieć, wulg. wypuszczać gazy trawienne
" On ma chyba sraczkę, bo od godziny siedzi w kiblu.",sraczka," pot. wulg. biegunka, rozwolnienie[1]"
 Samiec konia to ogier.,samiec, zool. zwierzę płci męskiej
" Więc gdy w głowie i w gębie potrzebne są wielce, / Zaraz je z żołtej juchy biorę na widelce[2].",jucha ," daw. kulin. sos, polewka"
" Trzeba go wpuścić do raju, bo inaczej będzie jucha i w piekle śpiewał, a to nie przystoi[3].",jucha ," pot. osoba niedobra, drań"
" Tomek to frajer – kasuje bilety, a przecież na pewno nie będzie tutaj chodził kanar.",frajer," pot. osoba dająca się łatwo nabrać, naiwna; osoba nadmiernie wierna normom moralnym, które przez innych nie są przestrzegane"
 Znany jest prawdopodobny scenariusz rozprzestrzeniania się trądu na ziemi.,trąd, med. choroba zakaźna skóry i układu nerwowego; zob. też trąd w Wikipedii
 Trąd nie leci na pole i nie nosi miodu [...][3],trąd, przest. ent. pszcz. truteń[1][2]
" Tu wszyscy spólnie robią: wierna strzeże rada, • Jeśli który daremnie trąd miodu nie zjada [...] (sic!)[4]",trąd, przest. ent. pszcz. truteń[1][2]
" Marnotrawcze, leniwco, trądzie nieobrotny, • Ucz się skromnie ubóstwa cierpieć chędogiego [...] (sic!)[5]",trąd, przest. przen. pejor. truteń
" (…) zwalił się na gruby zad i jeno chrząkającym ryjem wodził za nią, gdy mu żarcie przegarniała (…)[1]",ryj, zool. wydłużona szczęka u zwierząt
" Nie wkurzaj mnie, bo inaczej w ryj dostaniesz!",ryj, posp. twarz
" Nic mi w życiu nie wychodzi! Mężczyźni, których kochałam, okazali się wszyscy draniami! Zostałam sama, bez oparcia, bez zawodu… Ty jeden byłeś dla mnie dobry![1]",drań," pejor. mężczyzna podły, niegodziwy, zły, nikczemny"
" Nie ma nic gorszego niż mieć we własnej drużynie takiego dzbana, który wszelkie problemy chce wyjaśniać poprzez bijatykę[2].",dzban," pot. pejor. osoba głupia, tępa; zob. też dzban (określenie) w Wikipedii"
 „Pokaż cycki!” – zawołał kloszard za przechodzącą kobietą.,cycek, posp. kobieca pierś
" Edek, ty skurwysynu!",skurwysyn, wulg. obraźliwie do mężczyzny lub o mężczyźnie
 Ty skurwysynie! Ty przeklęty skurwysynie! Coś ty jej zrobił?,skurwysyn, wulg. obraźliwie do mężczyzny lub o mężczyźnie
" Biedny głupi skurwysyn, któremu się wydawało, że otaczającą go rzeczywistość można wykorzystać, ukształtować wedle jego woli, kontrolować i regulować[2].",skurwysyn, wulg. obraźliwie do mężczyzny lub o mężczyźnie
" Miałeś, matkojebco, pilnować pieniędzy![1]",matkojebca, wulg. obraźliwa forma zwrotu do mężczyzny
" Dopiero po ślubie zorientowałam się, że to matkojebca.",matkojebca, wulg. rzad. mężczyzna utrzymujący kontakty seksualne z własną matką
 W populacjach lemingów występują cykliczne zmiany liczebności[2].,leming," zool. Lemmus lemmus[1], gatunek ssaków, małych gryzoni występujących w dużych ilościach w tundrze północnej Europy, Azji i Ameryki Północnej; zob. też leming w Wikipedii"
 Dla ludzi o liberalno-lewicowych poglądach konserwatywni prawicowcy będą zawsze „oszołomami”. Dla konserwatystów zaś liberałowie i lewacy – „lemingami”[3].,leming," publ. pogard. młody człowiek zwykle pracujący w korporacji, zwykle wyborca centrowy, nieposiadający własnego zdania, lecz idący za tłumem, bezkrytycznie ufający popularnym mediom"
 Co do orientacji światopoglądowej lemingom zarzuca się ślepe poddaństwo Platformie Obywatelskiej[4].,leming," publ. pogard. młody człowiek zwykle pracujący w korporacji, zwykle wyborca centrowy, nieposiadający własnego zdania, lecz idący za tłumem, bezkrytycznie ufający popularnym mediom"
 Zabierz pan tego kundla! Kto to widział żeby pies siedział na krześle!,kundel, pot. pogard. każdy pies (najczęściej zachowujący się niewłaściwie) niezależnie od jego pochodzenia
" Mój dziadek często powtarzał, że jak się nie będę uczył, to zostanę świniopasem.",świniopas," człowiek, który pasie świnie"
" Trąby grały larum, by kto żyw, chronił się do miasta, lecz oni nie słyszeli tych głosów lub nie chcieli na nie zważać.[2]",larum," przest. pobudka, sygnał wojenny, wzywający do broni"
" U nas, gdzie opinię publiczną wytwarzają kanapy, ile razy pojawi się jakaś nowa myśl z zagranicy, natychmiast podnosi się taki wrzask, takie larum, że trzeba mieć chyba odwagę graniczącą z zuchwałością, by jakąś reformę lub w ogóle coś niebywałego chcieć wprowadzić.[3]",larum," wrzawa, wrzask, zamieszanie, zgiełk"
" Nie wiem gdzie jest dziś, nie chcę podnosić tu larum. • Wydzwonię go to ustawimy się gdzieś na piwo do baru[4]",larum," daw. trwoga, popłoch[1]"
" Co się gapisz, pacanie?!",pacan, pot. głupiec
 Zrobiłem potrawę z warzyw.,warzywo," roślina, której owoce, korzenie, liście lub kwiatostany służą człowiekowi za pokarm"
 Zdrowa dieta powinna zawierać warzywa.,warzywo," roślina, której owoce, korzenie, liście lub kwiatostany służą człowiekowi za pokarm"
 Przez złą diagnozę lekarzy połowę życia spędził jak warzywo podłączone do aparatury![1],warzywo, pot. przen. pejor. chory bez kontaktu ze światem zewnętrznym (np. w śpiączce lub po urazie mózgu)
 Miałem do wyboru: siedzieć pod bombami jak palant lub walczyć[1].,palant," pot. obraźliwy zwrot do mężczyzny, który wzbudza lekceważenie lub pogardę"
" Nie wierzcie frustratom czy dewiantom psychicznym, którzy swoje problemy psychiczne odreagowują na narodzie.[1]",frustrat,
 Pijani faceci rozwalili kibel.,kibel," pot. grub. toaleta albo sam klozet, często zaniedbany"
 Czy dodać coś o stanie kibli?,kibel," pot. grub. toaleta albo sam klozet, często zaniedbany"
 Pies ma cztery łapy.,łapa, noga zwierzęcia niemającego kopyt
 Z brudnymi łapami siadasz do stołu?! Idź się umyć.,łapa," pot. żart. ręka, dłoń"
" Nareszcie dojechał na miejsce i znowu upłynęło z dziesięć minut, nim służący powrócił z kasy z biletem[1].",służący," osoba, która komuś służy, zajmuje się czyimś domem za wynagrodzeniem"
" (…) a wodziciel niby go to powstrzymywał, a pytą wokół prał, co wlazło, i krzykał (…) (sic!)[3]",pyta," (…) a wodziciel niby go to powstrzymywał, a pytą wokół prał, co wlazło, i krzykał (…) (sic!)[3]"
" Gdy oglądam pornole, od razu stoi mi pyta.",pyta, zob. w haśle penis
 Skończone budzenia się rano / ze stojącą pytą / która prowadzi i wskazuje drogę[4].,pyta, zob. w haśle penis
" Syn najstarszy miał chuj długi / I gruby na kształt maczugi, / A po bokach jego były / jak postronki – grube żyły, / Jakieś sęki, jakieś guzy – / Jaja miał jak dwa arbuzy! / A że ciągle mu bez mała / ta ogromna pyta stała, / Chujogromem go nazwano[5].",pyta, zob. w haśle penis
" W niektórych celach mają własnej roboty talię kart (…). Przeważnie jednak śpią, albo rżną w pytę. Pyta odchodzi najwięcej tam, gdzie siedzą cuwaksy (…)[6]",pyta, rżnąć w pytę
" Kto pyta, nie błądzi.",pyta," Kto pyta, nie błądzi."
 Romek kupił zajebisty rower!,zajebisty," pot. wulg.[1][2][3][4] fajny, wspaniały, robiący wrażenie"
 W okolicy wybudowano zajebisty blok.,zajebisty," pot. wulg.[1][2][3][4] duży, ogromny, bardzo intensywny"
" Kujon wszystko napisał, a nie dał mi ściągnąć!",kujon, pogard. tchórz
" Koty perskie trzeba często czesać, bo inaczej im się robią kołtuny.",kołtun, kłąb włosów sklejonych łojem; zob. też kołtun w Wikipedii
 Najdłuższy zachowany kołtun znajduje się w muzeum w Krakowie.,kołtun, kłąb włosów sklejonych łojem; zob. też kołtun w Wikipedii
 Jak ty wyglądasz?! Umaluj się chociaż i zrób coś z tym kołtunem na głowie!,kołtun, pot. potargane i brudne włosy
 W tej mieścinie to same kołtuny mieszkają.,kołtun, pogard. człowiek zacofany i ograniczony
 Jesteś dzisiaj niewiarygodnie upierdliwy!,upierdliwy," wulg. pot. człowiek zamęczający innych o coś, natrętny, uparty[1]"
 Dostałaś dzisiaj niewiarygodny dar od losu a dalej jesteś upierdliwa!,upierdliwy," wulg. pot. człowiek zamęczający innych o coś, natrętny, uparty[1]"
 Nauczycielka zadała nam wyjątkowo upierdliwe zadania domowe.,upierdliwy," wulg. pot. coś uciążliwe, męczące, dokuczliwe[1]"
 To dla mnie chińszczyzna.,chińszczyzna, pot. coś niezrozumiałego i trudnego
 Z otwartą gębą wyglądamy niepoważnie.,gęba, pot. anat. usta
" Sięgnęła do łyżnika, wzięła kopyść i w ogniu nią grzebać zaczęła, aż chłopaki gęby na nią porozdziawiały jako wrony (…)[1].",gęba, pot. anat. usta
" (…) Cygan jako Cygan, czarny na gębie (…)[2].",gęba, pot. twarz człowieka lub zwierzęcia
 Ale ryb dla tylu gęb nie starczy (…)[3].,gęba," pot. osoba będąca na czyimś utrzymaniu, osoba do wykarmienia"
 Jasio to straszny pierdoła. Rozmowy z nim zawsze mnie nudzą.,pierdoła," wulg. człowiek mówiący bzdury, niedorzeczności[1][2][3]"
 Ten stary pierdoła bardzo głośno słucha radia. Przez niego nie mogę się skoncentrować na nauce!,pierdoła," pogard. człowiek niedołężny, niezdarny, ślamazarny, zwykle stary[4]"
 Podniecała się jakąś pierdołą zasłyszaną przed sklepem.,pierdoła, wulg. plotka; zob. pierdoły
 Płaczesz z powodu potrzaskanej szklanki? Nie przejmuj się taką pierdołą.,pierdoła," wulg. rzecz mało znacząca, bzdura, głupstwo[1]; zob. pierdoły"
" Jeśli bowiem ktoś (z przeróżnych powodów, w tym obiektywnych) mówi niezbyt poprawnie, „po polskiemu"" (…)[6]",po polskiemu, żart. pejor. pot. używając języka polskiego z rażącymi błędami[1][2][3]
" (…)nadchodzące z zewnątrz korespondencje polskie napisane były najczęściej „po polskiemu”, a nie po polsku (…)[7]",po polskiemu, żart. pejor. pot. używając języka polskiego z rażącymi błędami[1][2][3]
" Myśmy dwa polskie pisarze, więc czemu Pan tu nie mówi do mnie czysto po polskiemu?[8]",po polskiemu, żart. pejor. pot. używając języka polskiego z rażącymi błędami[1][2][3]
" (…) oczywiście może się zdarzyć że to się skończy znowu po polskiemu, czyli dobry pomysł zostanie powyginany tak, że będzie przypominał swoją parodię.[9]",po polskiemu, żart. pejor. pot. w sposób przypisywany Polakom
" Bo nie będę gotować po polskiemu, czyli na tony, bo mam za małą lodówkę, by pomieścić to, co niezjedzone.[10]",po polskiemu, żart. pejor. pot. w sposób przypisywany Polakom
" Jeśli nam jak głupim dzieciom nie wytłumaczy po prostu, „po polskiemu”, bez wygibasów[4]",po polskiemu," żart. pot. w prosty sposób, tak żeby „każdy głupi” zrozumiał[4]"
" Teraz i berkmon to się musi nauczyć gadać po polskiemu, bo je za dużo goroli.[5]",po polskiemu, gw. (Górny Śląsk) po polsku[5]
 Zrobiłaś się wściekła i rozgoryczona. Jak tak dalej pójdzie zmienisz się w niezłego pojeba.[1],pojeb," pot. wulg. pogard. człowiek działający irracjonalnie, idiotycznie; ktoś „pojebany” lub kogo „pojebało”"
" A jedyna dobra rzecz, jaką można powiedzieć o pogodzie, to to, że powstrzymuje ona nasze lotnictwo od posłania nas bombami do wszystkich diabłów, bo jest zbyt gówniana, żeby latać[1].",gówniany," wulg. przen. kiepski, marny, tandetny, kiczowaty, bezwartościowy"
" W żołnierskich słowach […]: masz kij w dupie i mylisz buractwo z pewnością siebie. Babki bardziej interesuje to, czy masz pasję i jak się ruchasz, a nie twoja cefałka.[3]",ruchać, wulg. uprawiać z kimś seks (jako strona aktywna)
 Przez wywarte okna i drzwi widne były głowy wkrąg zebrane i gęby ruchające.[4],ruchać, daw. ruszać[1][2]
" Gospodyni idą! – zawołała dziewka, ruchając mocno koziełkiem w kierzance, jaże śmietana wypryskiwała wokoło.[5]",ruchać, daw. ruszać[1][2]
" Wójt jeno ostał, kowal i tych kilku staruchów ledwie się ruchających [...].[6]",ruchać, daw. ruszać się
 Przestań gadać o tych duperelach i powiedz coś o chorobie Krysi.,duperele," pot. posp. sprawy, kwestie mało ważne"
 Chyba go znajdziesz w szufladzie z duperelami w kantorku.,duperele, posp. nieprzydatne przedmioty
 Przestań gadać o tych duperelach i powiedz coś o chorobie Krysi.,duperele ," pot. posp. sprawy, kwestie mało ważne"
 Chyba go znajdziesz w szufladzie z duperelami w kantorku.,duperele , posp. nieprzydatne przedmioty
" Nasz blok ma nowego ciecia, który odśnieża wszystkie schody i chodniki.",cieć, posp. pogard. gospodarz domu
" Zapytał, co to może oznaczać, bo jako cieć to i owo musi wiedzieć.",cieć, posp. pogard. gospodarz domu
" W rzeczy samej, nic nie jest złem ani dobrem samo przez się, tylko myśl nasza czyni to i owo takim[1].",zło," coś powszechnie uznane za szkodliwe, negatywne moralnie; zob. też zło w Wikipedii"
